"dptvar";"shrinkage";"tree.complexity";"bag.fraction";"stepsize";"optimal.trees";"min.RMSE";"dev.tot";"dev.res";"dev.exp";"nbrobs";"p.dev.exp"
"aCDOM400";0.03;1;0.8;30;289;0.378508118973944;0.171241716976082;0.143278571820917;0.0279631451551643;395;16.3
"TSS";0.03;2;0.8;30;163;0.927568607760495;1.3536097165265;0.860406137267784;0.493203579258716;326;36.4
"aCDOM400";0.03;2;0.8;30;193;0.374825141913297;0.171241716976082;0.14050353200486;0.0307381849712214;395;18
"TSS";0.03;3;0.8;30;127;0.928773705704414;1.3536097165265;0.862642302456829;0.490967414069672;326;36.3
"aCDOM400";0.03;3;0.8;30;121;0.373493906771506;0.171241716976082;0.13950524762944;0.0317364693466411;395;18.5
"TSS";0.03;4;0.8;30;109;0.927839346920547;1.3536097165265;0.860896247356813;0.492713469169688;326;36.4
"aCDOM400";0.03;4;0.8;30;97;0.37331487362979;0.171241716976082;0.13937020267845;0.0318715142976317;395;18.6
"TSS";0.03;5;0.8;30;115;0.92727377476226;1.3536097165265;0.859861250349673;0.493748466176828;326;36.5
"aCDOM400";0.03;5;0.8;30;91;0.372740260185709;0.171241716976082;0.138940710898146;0.0323010060779355;395;18.9
"TSS";0.03;1;0.9;30;235;0.933589011565215;1.3536097165265;0.871606501385141;0.48200321514136;326;35.6
"aCDOM400";0.03;1;0.9;30;325;0.377682502588789;0.171241716976082;0.142654106857759;0.0285876101183225;395;16.7
"TSS";0.03;2;0.9;30;157;0.9260057641673;1.3536097165265;0.857513028140263;0.496096688386238;326;36.6
"aCDOM400";0.03;2;0.9;30;193;0.374188580625688;0.171241716976082;0.140024728700132;0.03121698827595;395;18.2
"TSS";0.03;3;0.9;30;139;0.926933172219567;1.3536097165265;0.859227725703998;0.494381990822502;326;36.5
"aCDOM400";0.03;3;0.9;30;133;0.372692219558532;0.171241716976082;0.138903716742889;0.0323380002331923;395;18.9
"TSS";0.03;4;0.9;30;139;0.927476392512906;1.3536097165265;0.860231341928511;0.493378374597989;326;36.4
"aCDOM400";0.03;4;0.9;30;109;0.372857909551012;0.171241716976082;0.139027060241825;0.0322146567342564;395;18.8
"TSS";0.03;5;0.9;30;121;0.928458513400603;1.3536097165265;0.862056528494527;0.491553188031973;326;36.3
"aCDOM400";0.03;5;0.9;30;97;0.373105671214713;0.171241716976082;0.139212417718969;0.0320292992571127;395;18.7
